Sensor,Date_Time,Date,Time,Count
Flinders St-Swanston St (West),2018-12-01 01:00:00,2018-12-01,1,193
Alfred Place,2018-12-01 01:00:00,2018-12-01,1,NA
Lonsdale St-Spring St (West),2018-12-01 01:00:00,2018-12-01,1,62
Grattan St-Swanston St (West),2018-12-01 01:00:00,2018-12-01,1,NA
Monash Rd-Swanston St (West),2018-12-01 01:00:00,2018-12-01,1,5
Tin Alley-Swanston St (West),2018-12-01 01:00:00,2018-12-01,1,5
Bourke Street Mall (North),2018-12-01 02:00:00,2018-12-01,2,142
Bourke Street Mall (South),2018-12-01 02:00:00,2018-12-01,2,82
Melbourne Central,2018-12-01 02:00:00,2018-12-01,2,324
Town Hall (West),2018-12-01 02:00:00,2018-12-01,2,279
Princes Bridge,2018-12-01 02:00:00,2018-12-01,2,136
Flinders Street Station Underpass,2018-12-01 02:00:00,2018-12-01,2,364
Birrarung Marr,2018-12-01 02:00:00,2018-12-01,2,24
Webb Bridge,2018-12-01 02:00:00,2018-12-01,2,6
Southern Cross Station,2018-12-01 02:00:00,2018-12-01,2,31
Victoria Point,2018-12-01 02:00:00,2018-12-01,2,15
Waterfront City,2018-12-01 02:00:00,2018-12-01,2,17
New Quay,2018-12-01 02:00:00,2018-12-01,2,27
Flagstaff Station,2018-12-01 02:00:00,2018-12-01,2,NA
Sandridge Bridge,2018-12-01 02:00:00,2018-12-01,2,166
State Library,2018-12-01 02:00:00,2018-12-01,2,125
Collins St (North),2018-12-01 02:00:00,2018-12-01,2,34
Collins Place (South),2018-12-01 02:00:00,2018-12-01,2,33
Collins Place (North),2018-12-01 02:00:00,2018-12-01,2,13
Chinatown-Swanston St (North),2018-12-01 02:00:00,2018-12-01,2,179
Chinatown-Lt Bourke St (South),2018-12-01 02:00:00,2018-12-01,2,173
Bourke St-Russell St (West),2018-12-01 02:00:00,2018-12-01,2,412
Flinders St-Elizabeth St (East),2018-12-01 02:00:00,2018-12-01,2,374
Spencer St-Collins St (South),2018-12-01 02:00:00,2018-12-01,2,51
Spencer St-Collins St (North),2018-12-01 02:00:00,2018-12-01,2,108
Melbourne Convention Exhibition Centre,2018-12-01 02:00:00,2018-12-01,2,72
QV Market-Elizabeth St (West),2018-12-01 02:00:00,2018-12-01,2,121
QV Market-Peel St,2018-12-01 02:00:00,2018-12-01,2,19
The Arts Centre,2018-12-01 02:00:00,2018-12-01,2,77
St Kilda Rd-Alexandra Gardens,2018-12-01 02:00:00,2018-12-01,2,35
Lonsdale St (South),2018-12-01 02:00:00,2018-12-01,2,346
Lygon St (West),2018-12-01 02:00:00,2018-12-01,2,43
City Square,2018-12-01 02:00:00,2018-12-01,2,NA
Flinders St-Spring St (West),2018-12-01 02:00:00,2018-12-01,2,19
Flinders St-Spark La,2018-12-01 02:00:00,2018-12-01,2,19
Southbank,2018-12-01 02:00:00,2018-12-01,2,274
Queen St (West),2018-12-01 02:00:00,2018-12-01,2,236
Lygon St (East),2018-12-01 02:00:00,2018-12-01,2,12
Flinders St-Swanston St (West),2018-12-01 02:00:00,2018-12-01,2,115
Alfred Place,2018-12-01 02:00:00,2018-12-01,2,NA
Lonsdale St-Spring St (West),2018-12-01 02:00:00,2018-12-01,2,28
Grattan St-Swanston St (West),2018-12-01 02:00:00,2018-12-01,2,NA
Monash Rd-Swanston St (West),2018-12-01 02:00:00,2018-12-01,2,NA
Tin Alley-Swanston St (West),2018-12-01 02:00:00,2018-12-01,2,NA
Bourke Street Mall (North),2018-12-01 03:00:00,2018-12-01,3,73
Bourke Street Mall (South),2018-12-01 03:00:00,2018-12-01,3,73
Melbourne Central,2018-12-01 03:00:00,2018-12-01,3,242
Town Hall (West),2018-12-01 03:00:00,2018-12-01,3,232
Princes Bridge,2018-12-01 03:00:00,2018-12-01,3,113
Flinders Street Station Underpass,2018-12-01 03:00:00,2018-12-01,3,261
Birrarung Marr,2018-12-01 03:00:00,2018-12-01,3,6
Webb Bridge,2018-12-01 03:00:00,2018-12-01,3,13
Southern Cross Station,2018-12-01 03:00:00,2018-12-01,3,27
Victoria Point,2018-12-01 03:00:00,2018-12-01,3,11
Waterfront City,2018-12-01 03:00:00,2018-12-01,3,NA
New Quay,2018-12-01 03:00:00,2018-12-01,3,14
Flagstaff Station,2018-12-01 03:00:00,2018-12-01,3,NA
Sandridge Bridge,2018-12-01 03:00:00,2018-12-01,3,136
State Library,2018-12-01 03:00:00,2018-12-01,3,66
Collins St (North),2018-12-01 03:00:00,2018-12-01,3,49
Collins Place (South),2018-12-01 03:00:00,2018-12-01,3,26
Collins Place (North),2018-12-01 03:00:00,2018-12-01,3,11
Chinatown-Swanston St (North),2018-12-01 03:00:00,2018-12-01,3,194
Chinatown-Lt Bourke St (South),2018-12-01 03:00:00,2018-12-01,3,179
Bourke St-Russell St (West),2018-12-01 03:00:00,2018-12-01,3,316
Flinders St-Elizabeth St (East),2018-12-01 03:00:00,2018-12-01,3,380
Spencer St-Collins St (South),2018-12-01 03:00:00,2018-12-01,3,32
Spencer St-Collins St (North),2018-12-01 03:00:00,2018-12-01,3,71
Melbourne Convention Exhibition Centre,2018-12-01 03:00:00,2018-12-01,3,33
QV Market-Elizabeth St (West),2018-12-01 03:00:00,2018-12-01,3,115
QV Market-Peel St,2018-12-01 03:00:00,2018-12-01,3,24
The Arts Centre,2018-12-01 03:00:00,2018-12-01,3,83
St Kilda Rd-Alexandra Gardens,2018-12-01 03:00:00,2018-12-01,3,25
Lonsdale St (South),2018-12-01 03:00:00,2018-12-01,3,210
Lygon St (West),2018-12-01 03:00:00,2018-12-01,3,26
City Square,2018-12-01 03:00:00,2018-12-01,3,NA
Flinders St-Spring St (West),2018-12-01 03:00:00,2018-12-01,3,27
Flinders St-Spark La,2018-12-01 03:00:00,2018-12-01,3,15
Southbank,2018-12-01 03:00:00,2018-12-01,3,113
Queen St (West),2018-12-01 03:00:00,2018-12-01,3,189
Lygon St (East),2018-12-01 03:00:00,2018-12-01,3,3
Flinders St-Swanston St (West),2018-12-01 03:00:00,2018-12-01,3,102
Alfred Place,2018-12-01 03:00:00,2018-12-01,3,NA
Lonsdale St-Spring St (West),2018-12-01 03:00:00,2018-12-01,3,20
Grattan St-Swanston St (West),2018-12-01 03:00:00,2018-12-01,3,NA
Monash Rd-Swanston St (West),2018-12-01 03:00:00,2018-12-01,3,1
Tin Alley-Swanston St (West),2018-12-01 03:00:00,2018-12-01,3,2
Bourke Street Mall (North),2018-12-01 04:00:00,2018-12-01,4,65
Bourke Street Mall (South),2018-12-01 04:00:00,2018-12-01,4,35
Melbourne Central,2018-12-01 04:00:00,2018-12-01,4,123
Town Hall (West),2018-12-01 04:00:00,2018-12-01,4,116
Princes Bridge,2018-12-01 04:00:00,2018-12-01,4,65
Flinders Street Station Underpass,2018-12-01 04:00:00,2018-12-01,4,155
Birrarung Marr,2018-12-01 04:00:00,2018-12-01,4,36
Webb Bridge,2018-12-01 04:00:00,2018-12-01,4,9
Southern Cross Station,2018-12-01 04:00:00,2018-12-01,4,12
Victoria Point,2018-12-01 04:00:00,2018-12-01,4,9
Waterfront City,2018-12-01 04:00:00,2018-12-01,4,1
New Quay,2018-12-01 04:00:00,2018-12-01,4,8
Flagstaff Station,2018-12-01 04:00:00,2018-12-01,4,NA
Sandridge Bridge,2018-12-01 04:00:00,2018-12-01,4,80
State Library,2018-12-01 04:00:00,2018-12-01,4,41
Collins St (North),2018-12-01 04:00:00,2018-12-01,4,22
Collins Place (South),2018-12-01 04:00:00,2018-12-01,4,12
Collins Place (North),2018-12-01 04:00:00,2018-12-01,4,2
Chinatown-Swanston St (North),2018-12-01 04:00:00,2018-12-01,4,49
Chinatown-Lt Bourke St (South),2018-12-01 04:00:00,2018-12-01,4,63
Bourke St-Russell St (West),2018-12-01 04:00:00,2018-12-01,4,166
Flinders St-Elizabeth St (East),2018-12-01 04:00:00,2018-12-01,4,242
Spencer St-Collins St (South),2018-12-01 04:00:00,2018-12-01,4,21
Spencer St-Collins St (North),2018-12-01 04:00:00,2018-12-01,4,65
Melbourne Convention Exhibition Centre,2018-12-01 04:00:00,2018-12-01,4,27
QV Market-Elizabeth St (West),2018-12-01 04:00:00,2018-12-01,4,68
QV Market-Peel St,2018-12-01 04:00:00,2018-12-01,4,4
The Arts Centre,2018-12-01 04:00:00,2018-12-01,4,47
St Kilda Rd-Alexandra Gardens,2018-12-01 04:00:00,2018-12-01,4,23
Lonsdale St (South),2018-12-01 04:00:00,2018-12-01,4,129
Lygon St (West),2018-12-01 04:00:00,2018-12-01,4,17
City Square,2018-12-01 04:00:00,2018-12-01,4,NA
Flinders St-Spring St (West),2018-12-01 04:00:00,2018-12-01,4,9
Flinders St-Spark La,2018-12-01 04:00:00,2018-12-01,4,9
Southbank,2018-12-01 04:00:00,2018-12-01,4,114
Queen St (West),2018-12-01 04:00:00,2018-12-01,4,52
